,game_num,turn_num,player_turn,board_state,optimal_move,result
0,0,1,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",1,0
1,0,1,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",1,0
2,0,2,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",1,0
3,0,2,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",6,0
4,0,3,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 2]]",5,0
5,0,3,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 2]]",3,0
6,0,4,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",3,0
7,0,4,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",3,0
8,0,5,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",3,0
9,0,5,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",3,0
10,0,6,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",3,0
11,0,6,2,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",1,0
12,0,7,1,"[[0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",1,0
13,0,7,2,"[[0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",1,0
14,0,8,1,"[[0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1, 2]]",6,0
15,0,8,2,"[[0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 1, 2]]",6,0
16,0,9,1,"[[0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 1, 2]]",6,0
17,0,9,2,"[[0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 1, 2]]",6,0
18,0,10,1,"[[0, 2, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 1, 2]]",6,0
19,0,10,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 1, 2]]",0,0
20,0,11,1,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [2, 1, 0, 2, 0, 1, 2]]",2,0
21,0,11,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [2, 1, 1, 2, 0, 1, 2]]",4,0
22,0,12,1,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",4,0
23,0,12,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",4,0
24,0,13,1,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",4,0
25,0,13,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 0, 0, 2], [0, 2, 0, 1, 1, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",4,0
26,0,14,1,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",0,0
27,0,14,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [0, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",0,0
28,0,15,1,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2, 0, 2], [0, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",0,0
29,0,15,2,"[[0, 2, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",0,0
30,0,16,1,"[[0, 2, 0, 1, 0, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",0,0
31,0,16,2,"[[1, 2, 0, 1, 0, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",4,0
32,0,17,1,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",2,0
33,0,17,2,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 1, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2]]",5,0
34,0,18,1,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",2,0
35,0,18,2,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 0, 1, 1, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",2,0
36,0,19,1,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 0, 2, 2, 0, 2], [1, 2, 2, 1, 1, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",2,0
37,0,19,2,"[[1, 2, 0, 1, 2, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 2, 1, 1, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",2,0
38,0,20,1,"[[1, 2, 2, 1, 2, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 2, 1, 1, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",5,0
39,0,20,2,"[[1, 2, 2, 1, 2, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 2, 1, 1, 0, 1], [2, 1, 1, 2, 2, 1, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",5,0
40,0,21,1,"[[1, 2, 2, 1, 2, 0, 1], [2, 1, 1, 2, 2, 0, 2], [1, 2, 2, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",5,0
41,0,21,2,"[[1, 2, 2, 1, 2, 0, 1], [2, 1, 1, 2, 2, 1, 2], [1, 2, 2, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2], [1, 2, 1, 1, 1, 2, 1], [2, 1, 1, 2, 2, 1, 2]]",5,0
42,1,1,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",4,1
43,1,1,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0]]",1,1
